----------------------------------------
Begin Torque Prologue on nid25257
at Sat Nov 17 21:06:57 CST 2018
Job Id:			9232114.bw
Username:		traXXX
Group:			TRAIN_bauh
Job name:		mp9-part2
Requested resources:	nodes=1:ppn=16:xk,walltime=10:00:00,neednodes=1:ppn=16:xk
Queue:			normal
Account:		bauh
End Torque Prologue:  0.292 elapsed
----------------------------------------




>>>    Batch: 4304 | Accuracy: 56.25
>>>    Batch: 4320 | Accuracy: 37.5
>>>    Batch: 4336 | Accuracy: 43.75
>>>    Batch: 4352 | Accuracy: 37.5
>>>    Batch: 4368 | Accuracy: 56.25
>>>    Batch: 4384 | Accuracy: 50.0
>>>    Batch: 4400 | Accuracy: 62.5
>>>    Batch: 4416 | Accuracy: 56.25
>>>    Batch: 4432 | Accuracy: 37.5
>>>    Batch: 4448 | Accuracy: 68.75
>>>    Batch: 4464 | Accuracy: 50.0
>>>    Batch: 4480 | Accuracy: 18.75
>>>    Batch: 4496 | Accuracy: 50.0
>>>    Batch: 4512 | Accuracy: 50.0
>>>    Batch: 4528 | Accuracy: 62.5
>>>    Batch: 4544 | Accuracy: 50.0
>>>    Batch: 4560 | Accuracy: 37.5
>>>    Batch: 4576 | Accuracy: 68.75
>>>    Batch: 4592 | Accuracy: 62.5
>>>    Batch: 4608 | Accuracy: 37.5
>>>    Batch: 4624 | Accuracy: 68.75
>>>    Batch: 4640 | Accuracy: 43.75
>>>    Batch: 4656 | Accuracy: 25.0
>>>    Batch: 4672 | Accuracy: 50.0
>>>    Batch: 4688 | Accuracy: 43.75
>>>    Batch: 4704 | Accuracy: 43.75
>>>    Batch: 4720 | Accuracy: 31.25
>>>    Batch: 4736 | Accuracy: 31.25
>>>    Batch: 4752 | Accuracy: 50.0
>>>    Batch: 4768 | Accuracy: 62.5
>>>    Batch: 4784 | Accuracy: 62.5
>>>    Batch: 4800 | Accuracy: 43.75
>>>    Batch: 4816 | Accuracy: 56.25
>>>    Batch: 4832 | Accuracy: 43.75
>>>    Batch: 4848 | Accuracy: 43.75
>>>    Batch: 4864 | Accuracy: 31.25
>>>    Batch: 4880 | Accuracy: 81.25
>>>    Batch: 4896 | Accuracy: 62.5
>>>    Batch: 4912 | Accuracy: 68.75
>>>    Batch: 4928 | Accuracy: 68.75
>>>    Batch: 4944 | Accuracy: 18.75
>>>    Batch: 4960 | Accuracy: 43.75
>>>    Batch: 4976 | Accuracy: 56.25
>>>    Batch: 4992 | Accuracy: 68.75
>>>    Batch: 5008 | Accuracy: 68.75
>>>    Batch: 5024 | Accuracy: 37.5
>>>    Batch: 5040 | Accuracy: 43.75
>>>    Batch: 5056 | Accuracy: 25.0
>>>    Batch: 5072 | Accuracy: 50.0
>>>    Batch: 5088 | Accuracy: 68.75
>>>    Batch: 5104 | Accuracy: 56.25
>>>    Batch: 5120 | Accuracy: 56.25
>>>    Batch: 5136 | Accuracy: 50.0
>>>    Batch: 5152 | Accuracy: 50.0
>>>    Batch: 5168 | Accuracy: 68.75
>>>    Batch: 5184 | Accuracy: 25.0
>>>    Batch: 5200 | Accuracy: 75.0
>>>    Batch: 5216 | Accuracy: 56.25
>>>    Batch: 5232 | Accuracy: 56.25
>>>    Batch: 5248 | Accuracy: 62.5
>>>    Batch: 5264 | Accuracy: 56.25
>>>    Batch: 5280 | Accuracy: 43.75
>>>    Batch: 5296 | Accuracy: 56.25
>>>    Batch: 5312 | Accuracy: 31.25
>>>    Batch: 5328 | Accuracy: 31.25
>>>    Batch: 5344 | Accuracy: 56.25
>>>    Batch: 5360 | Accuracy: 25.0
>>>    Batch: 5376 | Accuracy: 43.75
>>>    Batch: 5392 | Accuracy: 31.25
>>>    Batch: 5408 | Accuracy: 68.75
>>>    Batch: 5424 | Accuracy: 50.0
>>>    Batch: 5440 | Accuracy: 56.25
>>>    Batch: 5456 | Accuracy: 56.25
>>>    Batch: 5472 | Accuracy: 56.25
>>>    Batch: 5488 | Accuracy: 62.5
>>>    Batch: 5504 | Accuracy: 43.75
>>>    Batch: 5520 | Accuracy: 68.75
>>>    Batch: 5536 | Accuracy: 75.0
>>>    Batch: 5552 | Accuracy: 68.75
>>>    Batch: 5568 | Accuracy: 62.5
>>>    Batch: 5584 | Accuracy: 75.0
>>>    Batch: 5600 | Accuracy: 56.25
>>>    Batch: 5616 | Accuracy: 68.75
>>>    Batch: 5632 | Accuracy: 62.5
>>>    Batch: 5648 | Accuracy: 62.5
>>>    Batch: 5664 | Accuracy: 31.25
>>>    Batch: 5680 | Accuracy: 50.0
>>>    Batch: 5696 | Accuracy: 56.25
>>>    Batch: 5712 | Accuracy: 68.75
>>>    Batch: 5728 | Accuracy: 68.75
>>>    Batch: 5744 | Accuracy: 50.0
>>>    Batch: 5760 | Accuracy: 50.0
>>>    Batch: 5776 | Accuracy: 56.25
>>>    Batch: 5792 | Accuracy: 68.75
>>>    Batch: 5808 | Accuracy: 50.0
>>>    Batch: 5824 | Accuracy: 62.5
>>>    Batch: 5840 | Accuracy: 56.25
>>>    Batch: 5856 | Accuracy: 50.0
>>>    Batch: 5872 | Accuracy: 62.5
>>>    Batch: 5888 | Accuracy: 50.0
>>>    Batch: 5904 | Accuracy: 62.5
>>>    Batch: 5920 | Accuracy: 43.75
>>>    Batch: 5936 | Accuracy: 56.25
>>>    Batch: 5952 | Accuracy: 68.75
>>>    Batch: 5968 | Accuracy: 62.5
>>>    Batch: 5984 | Accuracy: 68.75
>>>    Batch: 6000 | Accuracy: 62.5
>>>    Batch: 6016 | Accuracy: 50.0
>>>    Batch: 6032 | Accuracy: 56.25
>>>    Batch: 6048 | Accuracy: 62.5
>>>    Batch: 6064 | Accuracy: 62.5
>>>    Batch: 6080 | Accuracy: 68.75
>>>    Batch: 6096 | Accuracy: 81.25
>>>    Batch: 6112 | Accuracy: 68.75
>>>    Batch: 6128 | Accuracy: 62.5
>>>    Batch: 6144 | Accuracy: 75.0
>>>    Batch: 6160 | Accuracy: 56.25
>>>    Batch: 6176 | Accuracy: 56.25
>>>    Batch: 6192 | Accuracy: 62.5
>>>    Batch: 6208 | Accuracy: 62.5
>>>    Batch: 6224 | Accuracy: 62.5
>>>    Batch: 6240 | Accuracy: 68.75
>>>    Batch: 6256 | Accuracy: 56.25
>>>    Batch: 6272 | Accuracy: 56.25
>>>    Batch: 6288 | Accuracy: 31.25
